epoch,train_loss,val_loss,bleu
1,7.4518399611647475,6.37246729078747,
2,6.249820664076285,5.851114318484352,
3,5.842740345800637,5.640846683865502,
4,5.609144711635084,5.552020617893764,
5,5.440691264879996,5.485096454620361,
6,5.304170994016925,5.482912472316197,
7,5.188417578587359,5.466442130860829,
8,5.0870407153937585,5.46670709337507,
9,4.997949227010637,5.535732678004673,
10,4.912178121861076,5.517575559161958,8.614936836975687
11,4.835646025477933,5.548580328623454,
12,4.766185926450998,5.580318042210171,
13,4.70174288905137,5.614266191210065,
14,4.640540569178698,5.6435385431562155,
15,4.58435018208411,5.692328067052932,
16,4.532667523916743,5.72388692129226,
17,4.486110912128769,5.766350133078439,
18,4.443721018530352,5.796542190370106,
19,4.404754079820502,5.830872422172909,
20,4.373252808770124,5.86381044841948,8.670423980336677
21,4.344321003984643,5.8978134563991,
22,4.319311490750247,5.918253194718134,
23,4.297805836688506,5.938990888141451,
24,4.279311327710724,5.97767957051595,
25,4.263853464834218,6.000552381787982,
26,4.252399386400319,6.008249782380604,
27,4.240887603712393,6.0204911686125255,
28,4.230622016358398,6.025960581643241,
29,4.223369672334702,6.033083665938604,
30,4.218016063748809,6.035338356381371,8.724517822607545
